plot,character,creativity,development,language,overall_quality,options,texts,scifi,fantasy,romance,historical
trained_3b,trained_3b,same,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(150, 122)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(158, 123)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(155, 137)",True,False,False,False
basewr_3b,basewr_3b,basewr_3b,same,basewr_3b,basewr_3b,"basewr_3b,trained_3b","(157, 89)",True,False,False,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"base3b,trained_3b","(146, 85)",False,False,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(154, 120)",False,True,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(156, 128)",False,False,False,True
trained_3b,trained_3b,trained_3b,trained_3b,base3b,trained_3b,"base3b,trained_3b","(144, 96)",True,False,False,False
basesft_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(152, 130)",False,False,False,True
trained_3b,trained_3b,same,trained_3b,same,trained_3b,"basewr_3b,trained_3b","(158, 101)",False,True,True,False
trained_3b,trained_3b,basewr_3b,trained_3b,basewr_3b,trained_3b,"basewr_3b,trained_3b","(151, 95)",False,True,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basewr_3b,trained_3b","(159, 87)",True,False,False,False
trained_3b,same,same,same,same,trained_3b,"basewr_3b,trained_3b","(141, 109)",False,True,False,True
same,same,same,same,same,same,"basesft_3b,trained_3b","(159, 132)",True,False,False,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(151, 138)",False,True,False,True
trained_3b,same,same,same,trained_3b,trained_3b,"basesft_3b,trained_3b","(146, 131)",False,False,False,True
same,same,same,same,same,same,"base3b,trained_3b","(86, 159)",True,False,False,False
basesft_3b,basesft_3b,same,same,same,basesft_3b,"basesft_3b,trained_3b","(148, 127)",False,True,False,True
base3b,trained_3b,base3b,trained_3b,trained_3b,base3b,"base3b,trained_3b","(153, 91)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,same,trained_3b,"basewr_3b,trained_3b","(150, 116)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,same,trained_3b,"base3b,trained_3b","(147, 83)",False,False,False,True
same,same,same,same,same,same,"basewr_3b,trained_3b","(149, 105)",True,False,False,False
trained_3b,trained_3b,trained_3b,trained_3b,same,trained_3b,"base3b,trained_3b","(148, 112)",False,True,False,True
trained_3b,base3b,base3b,base3b,base3b,base3b,"base3b,trained_3b","(100, 158)",False,True,True,False
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"base3b,trained_3b","(80, 143)",False,True,True,False
trained_3b,trained_3b,base3b,trained_3b,base3b,base3b,"base3b,trained_3b","(92, 142)",False,False,False,True
trained_3b,base3b,same,trained_3b,trained_3b,trained_3b,"base3b,trained_3b","(118, 152)",False,False,False,True
trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,trained_3b,"basesft_3b,trained_3b","(157, 139)",True,False,False,False
