key,cat,val
sft3,num_unique_words,276.0
sft3,pct_unique_words,25.455614344503235
sft3,pct_unique_words,28.289473684210524
sft3,pct_unique_words,44.88636363636363
sft3,pct_unique_words,25.165562913907287
sft3,pct_unique_words,33.15068493150685
sft3,pct_unique_words,28.15715622076707
sft3,pct_unique_words,24.8
sft3,pct_unique_words,26.640926640926644
sft3,pct_unique_words,21.176470588235293
sft3,pct_unique_words,27.87193973634652
sft3,pct_unique_words,16.0481444332999
sft3,pct_unique_words,28.79581151832461
sft3,pct_unique_words,31.510791366906478
sft3,pct_unique_words,36.02391629297459
sft3,pct_unique_words,24.056999161777032
sft3,pct_unique_words,33.89830508474576
sft3,pct_unique_words,22.70433905146317
sft3,pct_unique_words,27.970557308096737
sft3,pct_unique_words,24.281805745554035
sft3,pct_unique_words,30.357142857142854
sft3,pct_unique_words,26.271893244370307
sft3,pct_unique_words,25.36082474226804
sft3,pct_unique_words,28.24156305506217
sft3,pct_unique_words,20.22222222222222
sft3,pct_unique_words,44.97354497354497
sft3,pct_unique_words,24.271079590228524
sft3,pct_unique_words,39.762611275964396
sft3,pct_unique_words,27.139552814186587
sft3,pct_unique_words,30.79777365491651
sft3,pct_unique_words,32.348596750369275
sft3,pct_unique_words,33.61986628462273
sft3,pct_unique_words,22.15686274509804
sft3,pct_unique_words,17.40947075208914
sft3,pct_unique_words,22.795115332428765
sft3,pct_unique_words,19.327073552425663
sft3,pct_unique_words,29.45590994371482
sft3,pct_unique_words,35.88957055214724
sft3,pct_unique_words,25.02596053997923
sft3,pct_unique_words,13.884785819793205
sft3,pct_unique_words,16.38385020479813
sft3,pct_unique_words,24.072476272648835
sft3,pct_unique_words,20.65031374786081
sft3,pct_unique_words,12.840670859538783
sft3,pct_unique_words,21.989215098861596
sft3,pct_unique_words,19.66019417475728
sft3,pct_unique_words,40.88586030664395
sft3,pct_unique_words,30.246189917936693
sft3,pct_unique_words,35.01628664495114
sft3,pct_unique_words,25.21572387344199
sft3,pct_unique_words,27.93851717902351
sft3,pct_unique_words,23.725055432372503
sft3,pct_unique_words,23.424124513618676
sft3,pct_unique_words,26.098901098901102
sft3,pct_unique_words,33.373063170441
sft3,pct_unique_words,34.197730956239866
sft3,pct_unique_words,20.699071545603495
sft3,pct_unique_words,26.918798665183534
sft3,pct_unique_words,18.968809675366007
sft3,pct_unique_words,35.70247933884298
sft3,pct_unique_words,30.154405086285195
sft3,pct_unique_words,26.21160409556314
sft3,pct_unique_words,27.60233918128655
sft3,pct_unique_words,25.823045267489714
sft3,pct_unique_words,54.60526315789473
sft3,pct_unique_words,10.366328916601715
sft3,pct_unique_words,35.77777777777777
sft3,pct_unique_words,29.485179407176286
sft3,pct_unique_words,20.917573872472783
sft3,pct_unique_words,28.97489539748954
sft3,pct_unique_words,34.7953216374269
sft3,pct_unique_words,21.90082644628099
sft3,pct_unique_words,26.164383561643834
sft3,pct_unique_words,54.31309904153354
sft3,pct_unique_words,27.218934911242602
sft3,pct_unique_words,28.063241106719367
sft3,pct_unique_words,17.367639782285995
sft3,pct_unique_words,34.69387755102041
sft3,pct_unique_words,29.39189189189189
sft3,pct_unique_words,25.49634273772205
sft3,pct_unique_words,31.78973717146433
sft3,pct_unique_words,30.4302203567681
sft3,pct_unique_words,31.386861313868614
sft3,pct_unique_words,38.57142857142858
sft3,pct_unique_words,25.775022143489814
sft3,pct_unique_words,22.395209580838323
sft3,pct_unique_words,28.26622843056697
sft3,pct_unique_words,32.666666666666664
sft3,pct_unique_words,24.758064516129032
sft3,pct_unique_words,29.577464788732392
sft3,pct_unique_words,20.18348623853211
sft3,pct_unique_words,26.56023222060958
sft3,pct_unique_words,23.268482490272373
sft3,pct_unique_words,2.0588641702362858
sft3,pct_unique_words,39.74151857835218
sft3,pct_unique_words,35.72110792741165
sft3,pct_unique_words,30.13392857142857
sft3,pct_unique_words,33.523537803138375
sft3,pct_unique_words,29.698149951314505
sft3,pct_unique_words,36.734693877551024
sft3,pct_unique_words,29.743589743589745
sft3,pct_unique_words,17.66541822721598
sft3,pct_unique_words,20.629114850036576
sft3,pct_unique_words,29.166666666666668
sft3,pct_unique_words,21.41935483870968
sft3,pct_unique_words,20.53846153846154
sft3,pct_unique_words,12.993421052631579
sft3,pct_unique_words,31.893687707641195
sft3,pct_unique_words,30.584707646176913
sft3,pct_unique_words,17.68844221105528
sft3,pct_unique_words,21.233766233766232
sft3,pct_unique_words,29.013079667063018
sft3,pct_unique_words,25.503355704697988
sft3,pct_unique_words,18.855534709193243
sft3,pct_unique_words,33.223322332233224
