plot,character,creativity,development,language,overall_quality,options,texts,scifi,fantasy,romance,historical
base7b,basesft_7b,base7b,base7b,basesft_7b,base7b,"base7b,basesft_7b","(16, 47)",False,False,False,True
basesft_7b,basesft_7b,basesft_7b,same,basesft_7b,basesft_7b,"basesft_7b,basewr_7b","(17, 47)",False,False,False,True
base7b,base7b,basesft_7b,base7b,basesft_7b,base7b,"base7b,basesft_7b","(14, 48)",False,True,True,False
same,same,same,same,same,same,"basesft_7b,basewr_7b","(3, 49)",False,True,False,True
same,basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,"base7b,basesft_7b","(2, 49)",False,True,False,True
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(12, 43)",False,False,False,True
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(11, 50)",False,True,True,False
base7b,same,base7b,same,base7b,base7b,"base7b,basesft_7b","(28, 51)",False,True,True,False
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(24, 42)",True,False,False,False
same,basewr_7b,same,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(15, 48)",False,True,True,False
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(35, 52)",True,False,False,False
base7b,base7b,base7b,base7b,basesft_7b,base7b,"base7b,basesft_7b","(30, 53)",False,True,False,True
base7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,"base7b,basesft_7b","(27, 54)",False,True,False,True
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(22, 55)",True,False,False,False
basesft_7b,basesft_7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(32, 45)",False,False,False,True
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(7, 56)",True,False,False,False
base7b,base7b,base7b,basesft_7b,basesft_7b,base7b,"base7b,basesft_7b","(23, 55)",True,False,False,False
basewr_7b,basewr_7b,basewr_7b,same,same,basewr_7b,"basesft_7b,basewr_7b","(31, 53)",False,True,False,True
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(6, 56)",True,False,False,False
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(21, 57)",False,True,True,False
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(29, 51)",False,True,True,False
base7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,"base7b,basesft_7b","(5, 46)",False,True,False,True
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(20, 57)",False,True,True,False
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(37, 58)",True,False,False,False
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(0, 59)",False,False,False,True
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(10, 50)",False,True,True,False
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basesft_7b,basewr_7b","(1, 59)",False,False,False,True
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(36, 58)",True,False,False,False
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,basesft_7b","(39, 40)",False,True,False,True
base7b,base7b,same,same,base7b,base7b,"base7b,basesft_7b","(34, 52)",True,False,False,False
basesft_7b,basesft_7b,same,basesft_7b,same,same,"basesft_7b,basewr_7b","(9, 44)",False,False,False,True
basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,"basesft_7b,basewr_7b","(26, 54)",False,True,False,True
same,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(60, 57)",False,True,True,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(37, 61)",True,False,False,False
trained_7b,same,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(11, 62)",False,True,True,False
trained_7b,same,same,base7b,base7b,trained_7b,"base7b,trained_7b","(63, 34)",True,False,False,False
trained_7b,base7b,same,trained_7b,base7b,trained_7b,"base7b,trained_7b","(64, 39)",False,True,False,True
same,basewr_7b,same,same,basewr_7b,same,"basewr_7b,trained_7b","(65, 1)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(63, 52)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(36, 61)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(66, 44)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(67, 27)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(68, 47)",False,False,False,True
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basewr_7b,trained_7b","(17, 68)",False,False,False,True
basewr_7b,same,basewr_7b,basewr_7b,trained_7b,basewr_7b,"basewr_7b,trained_7b","(69, 31)",False,True,False,True
base7b,base7b,base7b,base7b,trained_7b,base7b,"base7b,trained_7b","(30, 69)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,basewr_7b,trained_7b,"basewr_7b,trained_7b","(64, 38)",False,True,False,True
trained_7b,same,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(16, 68)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(70, 4)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(62, 50)",False,True,True,False
trained_7b,same,trained_7b,trained_7b,basewr_7b,trained_7b,"basewr_7b,trained_7b","(66, 9)",False,False,False,True
trained_7b,same,trained_7b,same,trained_7b,trained_7b,"basewr_7b,trained_7b","(71, 6)",True,False,False,False
trained_7b,trained_7b,basesft_7b,trained_7b,same,trained_7b,"basesft_7b,trained_7b","(72, 45)",False,False,False,True
same,same,same,same,same,same,"base7b,trained_7b","(12, 73)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(71, 56)",True,False,False,False
same,same,basewr_7b,same,basewr_7b,basewr_7b,"basewr_7b,trained_7b","(3, 74)",False,True,False,True
trained_7b,same,trained_7b,same,same,trained_7b,"basesft_7b,trained_7b","(75, 55)",True,False,False,False
trained_7b,trained_7b,same,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(65, 59)",False,False,False,True
basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,basewr_7b,"basewr_7b,trained_7b","(76, 15)",False,True,True,False
basewr_7b,basewr_7b,same,basewr_7b,same,basewr_7b,"basewr_7b,trained_7b","(77, 19)",False,True,True,False
basesft_7b,basesft_7b,basesft_7b,basesft_7b,trained_7b,basesft_7b,"basesft_7b,trained_7b","(69, 53)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(76, 48)",False,True,True,False
basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,basesft_7b,"basesft_7b,trained_7b","(64, 40)",False,True,False,True
same,same,same,same,same,same,"base7b,trained_7b","(28, 78)",False,True,True,False
trained_7b,base7b,base7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(8, 66)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(32, 72)",False,False,False,True
same,same,basewr_7b,same,same,same,"basewr_7b,trained_7b","(73, 13)",False,False,False,True
base7b,base7b,trained_7b,trained_7b,same,trained_7b,"base7b,trained_7b","(0, 65)",False,False,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(78, 51)",False,True,True,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(61, 58)",True,False,False,False
base7b,base7b,base7b,base7b,base7b,base7b,"base7b,trained_7b","(70, 5)",False,True,False,True
basewr_7b,basewr_7b,trained_7b,basewr_7b,same,basewr_7b,"basewr_7b,trained_7b","(22, 75)",True,False,False,False
base7b,same,trained_7b,same,trained_7b,same,"base7b,trained_7b","(2, 74)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(26, 67)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(10, 62)",False,True,True,False
base7b,base7b,trained_7b,base7b,same,base7b,"base7b,trained_7b","(20, 60)",False,True,True,False
same,same,same,same,basewr_7b,same,"basewr_7b,trained_7b","(79, 25)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(63, 35)",True,False,False,False
base7b,trained_7b,trained_7b,base7b,trained_7b,trained_7b,"base7b,trained_7b","(71, 7)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(73, 43)",False,False,False,True
base7b,base7b,trained_7b,base7b,trained_7b,trained_7b,"base7b,trained_7b","(18, 77)",False,True,True,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(79, 42)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(77, 41)",False,True,True,False
base7b,base7b,trained_7b,base7b,same,base7b,"base7b,trained_7b","(14, 76)",False,True,True,False
same,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"base7b,trained_7b","(24, 79)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(67, 54)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(29, 78)",False,True,True,False
trained_7b,trained_7b,trained_7b,base7b,trained_7b,trained_7b,"base7b,trained_7b","(23, 75)",True,False,False,False
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basesft_7b,trained_7b","(70, 46)",False,True,False,True
trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(60, 21)",False,True,True,False
trained_7b,trained_7b,trained_7b,trained_7b,basesft_7b,trained_7b,"basesft_7b,trained_7b","(74, 49)",False,True,False,True
basewr_7b,trained_7b,trained_7b,trained_7b,trained_7b,trained_7b,"basewr_7b,trained_7b","(33, 72)",False,False,False,True
